V1,Anchor,Bass,Becks,Corona,Gordon,Guinnes,Heineken,Petes,Sam,Sieera
S001,5,9,7,1,7,6,6,5,9,5
S008,7,5,6,8,8,4,8,8,7,7
S015,7,7,5,6,6,1,8,4,7,5
S022,7,7,5,2,5,8,4,6,8,9
S029,9,7,3,1,6,8,2,7,6,8
S036,7,6,4,3,7,6,6,5,4,9
S043,5,5,5,6,6,4,7,5,5,6
S050,5,3,1,5,5,5,3,5,5,9
S057,9,3,2,6,4,6,1,5,3,6
S064,2,6,6,5,6,4,8,4,4,3
S071,7,7,7,5,7,8,6,7,7,8
S078,8,3,3,9,9,2,1,9,7,8
S085,6,5,3,7,6,5,8,6,7,5
S092,5,6,3,8,6,7,6,7,6,7
S099,4,7,2,8,5,9,8,3,8,8
S106,3,3,4,5,6,5,9,7,5,5
S113,2,4,5,7,6,6,8,1,7,4
S120,9,3,7,4,2,4,6,3,8,6
S127,5,3,4,7,7,7,6,6,6,6
S134,2,4,4,8,5,5,5,4,6,6
S141,5,7,6,7,5,8,8,7,5,7
S148,8,9,6,7,7,8,6,8,8,8
S162,5,6,6,7,5,3,7,3,4,3
S169,5,5,6,7,7,4,6,3,7,6
S176,5,5,7,8,7,6,7,5,4,7
S183,3,5,4,7,3,1,2,6,6,5
S190,4,3,6,8,6,1,8,2,7,7
S197,3,8,4,8,6,2,8,4,6,1
S204,3,5,1,5,5,3,4,6,7,5
S211,3,8,5,8,7,5,5,3,7,8
S218,8,8,5,7,9,9,7,7,6,8
S225,7,6,2,2,6,6,2,7,5,5
